學校名稱,系所(組)名稱,107學年度核定招生名額,班數,大學多元入學-考試分發入學,大學多元入學-繁星推薦入學,大學多元入學-個人申請入學-一般,大學多元入學-個人申請入學-青年儲蓄帳戶組,四技二專-甄選入學,四技二專-登記分發入學,四技二專-技優入學,四技二專-青年儲蓄帳戶組,運動績優-甄試,運動績優-單獨招生,單獨招生-全校單招,單獨招生-學系單招,單獨招生-特殊選才,單獨招生-其他,外加名額-大學多元入學-繁星推薦入學,外加名額-大學多元入學-個人申請入學,外加名額-大學多元入學-單獨招生,外加名額-四技二專技優入學
國立政治大學,東南亞語言與文化學士學位學程,17,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
國立政治大學,中國文學系,82,2,37,14,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
國立政治大學,哲學系,52,2,14,8,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
國立政治大學,歷史學系,44,1,16,8,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
國立政治大學,公共行政學系,45,1,17,9,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
國立政治大學,民族學系,47,1,14,8,17,0,0,0,0,0,0,1,0,0,1,0,2,3,0,0
國立政治大學,地政學系土地測量與資訊組,40,1,21,6,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
國立政治大學,地政學系土地資源規劃組,44,1,24,7,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
國立政治大學,地政學系土地管理組,44,1,24,7,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
國立政治大學,社會學系,45,1,20,7,18,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
國立政治大學,政治學系,45,1,21,7,17,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
國立政治大學,財政學系,87,2,38,14,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
國立政治大學,經濟學系,84,2,36,13,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
國立政治大學,企業管理學系,85,2,41,13,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
國立政治大學,金融學系,52,1,22,8,20,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
